224 	 165.20 	 0.70 	 16.77 	 0.68 	 -3.37 	 457.09 	 -1.98 

598 	 55.90 	 0.80 	 6.48 	 1.03 	 -2.71 	 398.11 	 -1.57 

772 	 7.20 	 33.00 	 34.45 	 0.94 	 -3.08 	 794.33 	 -1.96 

925 	 8.90 	 9.50 	 12.26 	 0.91 	 -2.68 	 724.44 	 -1.95 

1569 	 2.50 	 3.00 	 1.09 	 1.33 	 -1.04 	 199.53 	 -0.97 

2336 	 6.90 	 33.00 	 33.02 	 0.91 	 -2.16 	 741.31 	 -1.96 

2403 	 15.80 	 12.00 	 27.49 	 0.88 	 -2.39 	 346.74 	 -1.66 

2903 	 10.70 	 9.00 	 13.96 	 0.86 	 -2.55 	 309.03 	 -1.63 

2976 	 4.90 	 3.50 	 2.49 	 0.98 	 -1.90 	 128.82 	 -1.13 

3031 	 22.20 	 3.60 	 11.59 	 0.85 	 -2.74 	 269.15 	 -1.58 

3310 	 3.50 	 18.00 	 9.14 	 1.14 	 -1.38 	 251.19 	 -1.26 

3338 	 5.90 	 24.00 	 20.53 	 0.81 	 -2.80 	 398.11 	 -1.79 

3368 	 6.50 	 10.00 	 9.42 	 0.93 	 -2.79 	 269.15 	 -1.50 

3486 	 7.10 	 0.00 	 0.00 	 0.88 	 -2.70 	 323.59 	 -1.63 

3521 	 8.10 	 13.00 	 15.27 	 1.22 	 -2.15 	 331.13 	 -1.30 

3631 	 4.60 	 22.00 	 14.67 	 1.16 	 -1.97 	 489.78 	 -1.53 

3675 	 5.90 	 18.00 	 15.40 	 0.99 	 -2.25 	 218.78 	 -1.35 

3726 	 5.40 	 14.00 	 10.96 	 1.06 	 -2.52 	 323.59 	 -1.45 

3893 	 3.90 	 17.00 	 9.61 	 1.06 	 -2.20 	 302.00 	 -1.42 

4178 	 4.00 	 13.80 	 8.00 	 1.13 	 -2.51 	 389.05 	 -1.46 

4254 	 5.20 	 17.50 	 13.20 	 1.39 	 -1.94 	 346.74 	 -1.15 

4258 	 15.10 	 7.00 	 15.33 	 0.59 	 -2.60 	 478.63 	 -2.09 

4294 	 2.50 	 0.00 	 0.00 	 1.02 	 -2.11 	 302.00 	 -1.46 

4303 	 5.90 	 17.50 	 14.97 	 1.21 	 -1.98 	 478.63 	 -1.47 

4321 	 6.80 	 17.50 	 17.25 	 1.14 	 -2.31 	 446.68 	 -1.51 

4394 	 3.90 	 17.50 	 9.90 	 0.63 	 -3.12 	 323.59 	 -1.88 

4402 	 3.10 	 16.00 	 7.19 	 1.08 	 -3.04 	 416.87 	 -1.54 

4501 	 6.00 	 15.00 	 13.05 	 1.09 	 -2.45 	 331.13 	 -1.43 

4519 	 3.10 	 17.00 	 7.64 	 0.99 	 -2.22 	 288.40 	 -1.47 

4535 	 6.30 	 17.50 	 15.99 	 1.01 	 -2.62 	 524.81 	 -1.71 

4548 	 5.10 	 17.50 	 12.94 	 0.69 	 -2.76 	 338.84 	 -1.84 

4561 	 1.40 	 23.00 	 4.67 	 1.52 	 -2.17 	 158.49 	 -0.68 

4569 	 7.90 	 17.50 	 20.05 	 0.61 	 -3.02 	 501.19 	 -2.09 

4571 	 3.70 	 17.50 	 9.39 	 0.83 	 -2.80 	 467.74 	 -1.84 

4579 	 5.10 	 17.50 	 12.94 	 0.81 	 -2.56 	 281.84 	 -1.64 

4639 	 2.70 	 17.50 	 6.85 	 0.73 	 -2.35 	 218.78 	 -1.61 

4647 	 3.40 	 17.50 	 8.63 	 1.04 	 -2.46 	 346.74 	 -1.50 

4651 	 3.50 	 0.00 	 0.00 	 1.06 	 -2.22 	 269.15 	 -1.37 

4654 	 4.30 	 17.50 	 10.91 	 1.10 	 -2.30 	 346.74 	 -1.44 

4689 	 3.90 	 17.50 	 9.90 	 0.94 	 -2.62 	 323.59 	 -1.57 

4698 	 3.70 	 17.50 	 9.39 	 0.25 	 -3.79 	 251.19 	 -2.15 

4713 	 2.60 	 24.00 	 9.05 	 1.04 	 -1.77 	 323.59 	 -1.47 

4736 	 10.50 	 4.50 	 6.85 	 0.65 	 -2.46 	 269.15 	 -1.78 

5033 	 9.10 	 9.00 	 11.88 	 0.93 	 -2.88 	 776.25 	 -1.96 

5055 	 11.00 	 0.00 	 0.00 	 1.17 	 -2.56 	 380.19 	 -1.41 

5457 	 26.90 	 6.00 	 23.40 	 1.09 	 -2.70 	 870.96 	 -1.85 

6207 	 2.60 	 16.00 	 6.03 	 1.03 	 -1.94 	 257.04 	 -1.38 

6217 	 3.00 	 0.00 	 0.00 	 1.29 	 -2.15 	 288.40 	 -1.17 

6503 	 4.90 	 6.00 	 4.26 	 0.89 	 -2.32 	 169.82 	 -1.34 

6643 	 3.40 	 20.00 	 9.86 	 1.11 	 -2.05 	 371.54 	 -1.46 

7331 	 8.50 	 14.00 	 17.25 	 1.08 	 -2.57 	 575.44 	 -1.68 

